Primer Nombre,Apellido,Salario,Pais Residencia,Hijos,Pais Origen,Experiencia,Contratacion
Yvonne,Esley,$4845.68,Costa Rica,3,United States,4,2017
Cornelius,Fenck,$2247.88,United States,1,United States,3,2021
Stacy,Jewel,$3737.85,United States,1,Brazil,5,2015
Isidore,Marchington,$3837.37,United States,3,Brazil,5,2016
Johny,Larchiere,$2630.71,Brazil,3,Brazil,2,2017
Bobbee,Reddihough,$3438.30,Brazil,3,United States,4,2017
Sadie,Thon,$2081.98,United States,0,United States,2,2023
Mic,Icom,$2431.24,Brazil,1,United States,8,2019
Heda,Roddell,$1552.34,Brazil,3,United States,6,2020
Gizela,Shank,$1642.95,United States,3,United States,7,2021
Judie,Melmar,$4018.32,United States,3,Brazil,7,2016
Gaelan,Rassell,$4864.71,Brazil,3,United States,5,2016
Blanche,Patchett,$3593.83,United States,2,Peru,10,2022
Elyn,Featenby,$4424.60,United States,0,Peru,9,2020
Misty,Datte,$1788.37,Brazil,2,United States,10,2015
Bat,McCaughey,$2248.10,Brazil,2,United States,5,2019
Casey,Livens,$4755.93,Peru,0,United States,6,2016
Nert,Downton,$1426.40,Brazil,2,Brazil,3,2020
Haskell,Howells,$3042.64,Brazil,1,Brazil,0,2018
Marissa,Pastor,$1946.07,United States,3,Peru,7,2015
Dunn,Corre,$2229.21,Brazil,3,United States,0,2023
Melina,Santore,$2656.41,Costa Rica,0,Peru,1,2016
Valida,Tick,$4286.36,Brazil,0,Peru,4,2018
Valene,Ambrozik,$3923.69,Brazil,2,Brazil,9,2018
Kellie,Buller,$4637.92,United States,0,United States,6,2016
Rosaleen,Ducarne,$4802.92,United States,0,United States,0,2015
Gerhardine,McGrowther,$2742.21,Brazil,1,United States,0,2021
Emanuele,Hovell,$2981.25,Brazil,0,Peru,10,2020
Susanetta,Riccardelli,$2145.75,Brazil,0,United States,3,2017
Dexter,Labarre,$3927.65,Brazil,2,Brazil,0,2021
Wolfie,Harte,$2231.72,United States,2,Brazil,8,2021
Kaela,Haward,$2247.29,Australia,3,United States,8,2021
Arlinda,Crewe,$1864.78,Brazil,3,United States,9,2020
Korella,Knowlys,$2734.70,United States,3,Brazil,4,2018
Kerrie,Keener,$1613.04,Peru,0,Brazil,7,2019
Josefina,Smorthit,$1572.41,United States,0,Brazil,1,2016
Avril,,$4643.84,,1,United States,10,2017
Adelina,Sotheby,$3562.31,United States,1,Peru,4,2019
Lorilee,Heinicke,$2044.26,Peru,1,Peru,5,2017
Jess,Waddell,$3945.44,United States,3,Brazil,5,2016
Karol,Castanaga,$3815.31,United States,2,Peru,0,2020
Hermy,Cattanach,$4668.55,Brazil,1,Brazil,1,2019
Chrotoem,Gethyn,$3332.15,Brazil,,,7,2017
Loren,Foan,$4583.33,United States,0,Brazil,5,2019
Laurene,Sommers,$4944.93,United States,2,United States,6,2020
Ange,Tompkin,$4308.59,Brazil,0,United States,10,2019
Roth,McAless,$4735.17,Brazil,1,,10,2015
Burnard,,$1606.51,,3,Brazil,6,2021
Walker,McDuffie,$1328.34,United States,1,Brazil,2,2023
Laney,,$1638.97,,1,United States,1,2018
Winn,Fitch,$1506.19,United States,2,United States,9,2019
Kristine,Hegg,$3354.79,Peru,2,Brazil,10,2023
Elenore,Masters,$2097.17,Brazil,0,Brazil,1,2019
Betti,Paulat,$1459.94,United States,3,Brazil,3,2023
Aaron,Waldera,$3505.19,Brazil,2,United States,7,2023
Rosalinda,Willment,$3183.21,Brazil,1,Brazil,7,2015
Orlan,Habbeshaw,$2666.27,Peru,1,Costa Rica,6,2021
Randy,Speenden,$2229.83,Brazil,1,Peru,6,2018
Trixi,Mineghelli,$3755.58,Brazil,0,Brazil,8,2017
Eveline,Reidie,$2711.13,United States,0,Brazil,3,2015
Mair,Meaney,$1513.50,Brazil,3,Peru,1,2019
Dione,Domini,$2408.44,Costa Rica,0,United States,9,2019
Marybelle,Dorbin,$1945.54,Brazil,3,United States,7,2021
Orv,Badrock,$2206.15,Brazil,0,Chile,5,2021
Hyatt,McGurk,$1181.25,Peru,2,Peru,7,2017
Shelden,Chern,$2021.89,Brazil,1,Peru,5,2016
Vinson,McNeilley,$2963.35,Australia,1,United States,5,2020
Archambault,Broadnicke,$3114.01,Peru,2,Brazil,5,2015
Vanya,Seal,$2543.44,United States,3,Brazil,1,2017
Elston,Zorn,$3391.94,United States,3,Peru,7,2017
Agneta,Busk,$1458.65,United States,0,United States,1,2022
