Primer Nombre,Apellido,Salario,Pais Residencia,Hijos,Pais Origen,Experiencia,Contratacion
Creight,Castleton,$3446.56,United States,3,Peru,5,2017
Ivar,Jaggar,$3956.57,Brazil,3,United States,4,2023
,Merck,$1903.53,Brazil,3,United States,0,2015
Nonnah,Goodbairn,$3766.16,Peru,3,United States,2,2017
Reinwald,Petzolt,$4288.22,Brazil,1,Brazil,6,2016
Romona,Stallen,$2494.19,United States,2,Brazil,10,2016
Roddy,Fasler,$1326.67,Brazil,0,United States,4,2021
Dirk,Allflatt,$1469.74,United States,2,Peru,9,2021
Tamarah,Kochl,$1595.68,United States,2,Brazil,7,2015
Cazzie,Jacobovitch,$2493.07,Peru,0,Brazil,2,2018
Alice,Slaymaker,$2278.54,Peru,0,United States,6,2015
Trent,Aspy,$1422.58,Brazil,2,Brazil,6,2022
Michaela,Coskerry,$3783.89,Brazil,3,Brazil,10,2022
Bailie,Care,$1270.97,United States,2,Italy,6,2020
Hilda,Roach,$2199.73,Brazil,,,9,2021
Michele,Kehir,$4500.93,Brazil,3,United States,10,2015
Patricio,Thomsen,$3480.98,Peru,3,Brazil,7,2018
Anabelle,Puddicombe,$1986.34,United States,0,Brazil,7,2015
Clemence,Iveson,$4566.96,United States,0,Australia,1,2022
Debra,Berthot,$2266.99,Australia,3,Brazil,10,2020
Ginny,Dowglass,$2135.44,Brazil,2,Brazil,6,2021
Ilyse,McAnulty,$1789.80,Brazil,2,Brazil,9,2021
Josee,Caven,$2678.35,Australia,,,0,2021
Leila,Naerup,$4741.86,Brazil,3,United States,3,2022
Coleman,,$3315.62,,3,Peru,10,2017
Elsa,,$3369.51,,2,United States,3,2020
Maurise,Joyes,$2887.55,Brazil,2,Brazil,10,2016
Stuart,Alpine,$1347.24,United States,3,Peru,3,2023
Herb,Goolden,$3865.17,United States,1,United States,7,2019
Arleen,Sauvage,$3557.42,Brazil,0,Chile,6,2021
Lauren,Neames,$4479.76,United States,2,Brazil,6,2018
Ivy,Alleburton,$4646.47,Brazil,0,United States,2,2022
Bambi,Gaize,$1603.50,Peru,,,4,2021
