Primer Nombre,Apellido,Salario,Pais Residencia,Hijos,Pais Origen,Experiencia,Contratacion
Cassandre,Lassell,$3141.81,United States,1,Brazil,3,2015
Maury,Fearnyhough,$3349.32,United States,3,Brazil,0,2015
Mariellen,Clarey,$4209.52,Brazil,2,,8,2020
Chickie,Sheards,$3611.77,Brazil,0,United States,4,2016
Eddi,McGinlay,$2857.40,Brazil,2,United States,2,2017
Sophie,Le Fleming,$2533.28,United States,2,United States,5,2020
Ava,Tibbits,$2143.19,Brazil,3,Brazil,9,2020
Tate,Roby,$4151.28,United States,2,Chile,2,2017
Karly,Cullity,$2249.38,Brazil,1,Chile,1,2019
Donielle,,$1098.98,,3,Brazil,2,2016
Dorine,Ceschelli,$2197.05,Brazil,2,Peru,6,2022
Kellen,Cavet,$3881.44,Peru,3,Brazil,1,2023
Dunn,Boliver,$3766.27,United States,0,Chile,6,2023
Judie,Lansbury,$2628.16,Brazil,0,Peru,2,2015
Bartolomeo,Huot,$3301.13,United States,1,Brazil,4,2018
Gordon,Edgerley,$2172.11,United States,2,Italy,9,2019
Lindsey,,$1174.00,,1,United States,3,2015
Cyrillus,Bielfeld,$2870.91,Brazil,2,Peru,5,2017
Rhonda,Meadowcroft,$1550.85,Brazil,3,Brazil,8,2021
Danella,Vose,$1372.27,Brazil,2,Brazil,4,2019
Ingar,Wolver,$1543.32,Peru,,,6,2016
Jameson,Headech,$4112.70,Brazil,2,Brazil,1,2020
Westleigh,Parry,$2814.46,Brazil,1,Brazil,1,2016
Queenie,Bunney,$3739.60,United States,2,Brazil,8,2022
Emelina,De Paepe,$4042.72,Brazil,0,Brazil,3,2015
Erek,Gormally,$2109.61,Brazil,1,Brazil,1,2020
Raychel,Sowden,$2784.63,Costa Rica,0,United States,1,2019
Camila,Pollard,$2070.05,Brazil,2,United States,0,2019
Kean,Limerick,$2063.85,Brazil,2,United States,3,2015
Padget,Taffs,$2533.92,Brazil,1,Peru,7,2016
Bea,Lukock,$4643.86,United States,3,Peru,6,2021
Gloriana,Rait,$4936.38,Brazil,1,United States,9,2022
Carolann,Ead,$1228.58,Brazil,3,Peru,4,2018
Tiphany,,$3116.32,,0,Peru,9,2023
Ethel,Sergant,$3325.56,Brazil,0,United States,8,2023
Benny,Pratty,$4487.10,Brazil,3,Brazil,7,2019
Birgit,Ondrousek,$3305.33,Brazil,1,Brazil,0,2016
Hilda,Gooden,$2734.80,United States,,,5,2018
Tully,Romagnosi,$2735.11,Peru,1,Italy,3,2016
Lynnea,Ozintsev,$4752.23,Peru,2,Brazil,10,2023
Maxy,Plank,$4147.56,Brazil,1,Peru,2,2022
Brinna,Hurtic,$2739.69,United States,2,Brazil,6,2016
Hubey,Penhalewick,$3729.35,Brazil,0,United States,3,2016
Layney,Evens,$3547.21,Australia,1,Brazil,4,2016
Alecia,MacCroary,$2056.25,United States,2,Peru,4,2023
Doris,Imeson,$3684.19,Brazil,3,Brazil,7,2017
Arron,Tower,$1424.70,United States,0,,5,2015
Ailene,Duley,$2874.12,United States,1,Brazil,6,2016
Demetrius,Deelay,$4878.30,Brazil,1,Brazil,7,2018
Mahmoud,Sibbet,$1613.34,United States,0,Peru,3,2023
Rois,Beak,$3890.49,Peru,3,Peru,1,2020
Dominick,Iskower,$2702.54,Peru,0,Peru,5,2017
Egon,Petracchi,$2950.31,United States,1,Brazil,3,2019
Darda,Earry,$3868.90,United States,1,Brazil,2,2015
Roberta,Dobrowlski,$2032.87,Brazil,,,3,2020
Karlotte,Klewi,$4812.84,United States,1,Brazil,8,2015
Sibilla,Blackden,$3403.47,United States,3,Brazil,3,2015
Sheffield,Bellow,$2948.71,United States,2,Italy,5,2022
Samuel,Thuillier,$3755.77,Peru,1,Costa Rica,0,2021
Terrance,Lingner,$3100.37,United States,0,United States,0,2021
Gretta,Rowatt,$3148.73,Brazil,2,Brazil,5,2021
Sofia,Gowrich,$4260.73,Brazil,0,Brazil,4,2021
Ophelie,Bohea,$1743.31,Peru,0,United States,2,2015
Joell,Youhill,$1364.41,Brazil,3,Costa Rica,5,2020
Alysa,Malins,$4531.64,United States,2,Brazil,8,2017
Zonnya,Cowlin,$4930.77,Peru,2,Brazil,5,2022
Christa,Charlewood,$3138.04,Peru,2,Brazil,1,2019
Stanford,Yakushkin,$4234.10,Brazil,1,Brazil,8,2016
Gratiana,Leyman,$1656.15,Brazil,3,United States,2,2023
Nariko,Filewood,$2635.97,Brazil,1,Peru,5,2015
Brew,Cromie,$2605.89,Brazil,2,Peru,9,2020
Cecilia,Limprecht,$4715.37,Brazil,1,Brazil,5,2021
Friedrich,Stampe,$4653.38,Peru,3,United States,9,2018
Grantley,Woolatt,$4381.52,Peru,1,Brazil,3,2021
Brewer,Crewther,$4323.21,Peru,3,Brazil,0,2021
Fawnia,Bouskill,$2363.93,United States,2,Brazil,3,2021
Jonell,Antonognoli,$1129.42,Brazil,0,Brazil,8,2015
Chelsie,Yeomans,$1503.62,United States,1,,0,2023
Sinclare,Fassmann,$4055.22,United States,0,Brazil,4,2015
Rosamond,Adenot,$3292.22,United States,1,Brazil,6,2017
Suzi,Brayn,$3720.33,Brazil,3,Brazil,6,2020
Phillis,Lardeux,$3067.71,United States,0,United States,0,2023
Arv,Albarez,$2750.15,United States,3,Brazil,4,2023
Giselbert,Elington,$2584.68,Peru,3,Peru,4,2017
Alonso,Simonetti,$2800.31,Brazil,0,United States,4,2023
Bartlett,Colson,$2268.07,Brazil,1,Peru,0,2016
Josephina,Busson,$3618.08,Peru,3,Brazil,3,2023
Wendeline,McDill,$2668.42,Peru,0,Italy,2,2019
Tarrah,Crichmer,$4010.51,Brazil,1,United States,6,2019
Raddie,Fassan,$4852.13,Brazil,2,United States,1,2019
Mariya,Harriss,$4663.96,United States,2,Brazil,5,2020
Moreen,Stych,$2471.87,Brazil,3,United States,6,2018
Nicko,Manklow,$2829.80,Costa Rica,1,Brazil,0,2023
Maryjane,Franciskiewicz,$1131.34,United States,0,Costa Rica,2,2015
Chryste,Bovey,$3468.34,Brazil,0,Brazil,1,2020
Lesley,Rysom,$3293.20,Brazil,2,Brazil,1,2017
Dean,Guttridge,$4087.16,Brazil,0,United States,6,2016
Jourdain,Worssam,$1655.46,United States,3,United States,2,2017
Adolphus,Reilingen,$1670.17,Peru,2,United States,3,2021
Sigismondo,De la croix,$2074.05,Peru,0,Peru,10,2018
Edsel,Wemm,$4871.16,United States,0,Peru,4,2022
Lowrance,Timny,$2565.09,Brazil,,,6,2016
Morgen,Melmoth,$3064.09,Peru,0,United States,7,2016
Marie,,$3083.98,,1,United States,10,2016
Ring,Yeude,$3429.38,Brazil,0,United States,4,2017
Gabriel,Berget,$3373.70,Brazil,,,3,2016
Somerset,Coronas,$2888.51,Brazil,2,Peru,5,2019
Roxana,Dudeney,$2877.22,Brazil,2,Chile,4,2021
Ronica,Gibby,$1944.78,Brazil,1,Brazil,7,2018
Brnaby,Rudall,$1805.02,Brazil,1,Brazil,2,2021
Micah,,$1756.26,,1,United States,10,2021
Foster,,$2896.62,,2,Brazil,3,2023
Scarface,Yakunin,$2691.41,Brazil,0,Brazil,1,2023
Gav,Surgey,$2874.50,Costa Rica,0,Brazil,0,2020
Alica,Paslow,$3647.38,United States,2,Brazil,10,2017
Thornie,Kenefick,$1482.92,Brazil,1,United States,3,2018
Chris,,$4463.31,,0,Peru,3,2018
Rayner,McCray,$1395.53,Brazil,1,United States,10,2018
Leshia,Mullaney,$4413.26,Brazil,0,Brazil,5,2020
Kenna,Grece,$4142.87,Brazil,0,United States,4,2023
Luz,Glitherow,$3705.62,Peru,1,Brazil,0,2021
Vitoria,,$1937.65,,2,United States,4,2016
Krispin,Catlin,$3658.87,Brazil,1,,8,2018
Caryn,Slany,$4696.13,Brazil,3,Peru,6,2019
Riccardo,Yoseloff,$1087.37,Brazil,2,Brazil,1,2022
Ethelind,De Goey,$1376.10,Peru,2,United States,0,2020
Isaac,Chimenti,$2455.49,Brazil,2,Brazil,5,2023
Corny,Gillespey,$4267.01,Brazil,2,Brazil,6,2018
Milo,Kobierra,$4194.43,Brazil,3,Brazil,7,2022
Niall,Babonau,$3705.49,United States,0,Brazil,1,2016
Auguste,Dorkens,$4227.57,Brazil,2,Peru,0,2022
Nicoli,Dur,$3797.86,Brazil,3,United States,3,2022
Avram,Questier,$4587.32,Peru,2,Brazil,10,2020
Jarret,,$4774.05,,2,Brazil,9,2021
Justine,Harrill,$2145.76,Peru,1,Brazil,7,2019
Fara,,$4979.66,,0,Peru,2,2021
Zora,Thrussell,$4324.04,United States,0,Brazil,6,2022
Meredithe,Yakovitch,$1912.89,Brazil,1,Brazil,3,2021
Corri,Vogele,$1383.85,United States,2,Brazil,7,2019
Gayle,Arndtsen,$3508.83,Peru,0,Brazil,2,2018
Freemon,MacGorrie,$4589.98,Peru,0,Brazil,6,2023
Olwen,Tourot,$2099.17,United States,2,Brazil,10,2023
Ricki,Lis,$1539.93,Peru,1,Costa Rica,5,2015
Kevyn,Gourlie,$3440.20,Brazil,2,United States,4,2019
Pansy,Fromont,$2007.18,Brazil,3,Brazil,2,2017
Ameline,O' Lone,$1683.40,Brazil,3,Brazil,1,2021
Keary,Rose,$3833.53,Brazil,2,Brazil,10,2021
Enrika,Cod,$3071.16,Brazil,3,Brazil,4,2022
Prissie,Sleeford,$4826.46,Brazil,2,Peru,0,2021
Mayne,Scolding,$4759.80,United States,0,Peru,4,2023
Esma,Englishby,$3775.72,Brazil,3,Peru,8,2017
Edd,Abbot,$4766.22,Brazil,2,United States,10,2016
Benton,Redish,$2340.93,Peru,2,United States,10,2020
Maye,Sander,$2885.94,Brazil,0,United States,2,2021
Mei,Grewar,$4887.25,United States,3,United States,2,2023
Milka,Ambrogelli,$4598.48,Brazil,2,Peru,0,2023
Virgil,Gaitone,$4786.42,United States,0,Brazil,6,2023
May,Preddle,$3590.02,United States,3,United States,10,2019
Fenelia,Balfre,$4896.68,Brazil,3,Brazil,2,2021
